Times Bins DMs SNRs
338792.0 8.0 40.0 10.024895362665525
338793.0 8.0 40.0 8.753036687314093
338794.0 8.0 40.0 8.143278429859734
339443.0 8.0 40.0 8.026949257427223
339444.0 8.0 40.0 8.032185470802254
462466.0 8.0 40.0 8.889451477617683
462467.0 8.0 40.0 10.059253850168801
462468.0 8.0 40.0 10.428254926804565
462469.0 8.0 40.0 10.237218495844727
462470.0 8.0 40.0 10.556496616232552
462471.0 8.0 40.0 10.004314502828572
336893.0 9.0 40.0 8.369141561726375
336894.0 9.0 40.0 9.17102582133491
336895.0 9.0 40.0 9.180897442257848
336896.0 9.0 40.0 8.448103006345933
337834.0 9.0 40.0 8.425599692454758
337835.0 9.0 40.0 9.057238262389351
337836.0 9.0 40.0 9.375526037590554
337837.0 9.0 40.0 9.113991476064353
337838.0 9.0 40.0 9.007898647386815
337839.0 9.0 40.0 8.391068696572914
337902.0 9.0 40.0 8.016181018635429
337903.0 9.0 40.0 8.233308302303653
338134.0 9.0 40.0 9.119616685133787
338135.0 9.0 40.0 8.779127598255235
338136.0 9.0 40.0 8.1326897039209
338716.0 9.0 40.0 8.264811505103632
338717.0 9.0 40.0 8.805158915215005
338718.0 9.0 40.0 8.787889950431806
338719.0 9.0 40.0 9.710673369924073
338720.0 9.0 40.0 10.569306233029197
338721.0 9.0 40.0 9.67860276954432
338722.0 9.0 40.0 9.10865208810809
338723.0 9.0 40.0 8.538701406690683
338724.0 9.0 40.0 8.005760661680155
338787.0 9.0 40.0 8.950895097648147
338788.0 9.0 40.0 9.271650219860046
338789.0 9.0 40.0 9.940298744138504
338790.0 9.0 40.0 10.06860219717015
338791.0 9.0 40.0 10.483115824954924
338792.0 9.0 40.0 9.83421061387502
338793.0 9.0 40.0 9.012592366336337
339442.0 9.0 40.0 8.28872042231723
339443.0 9.0 40.0 8.412089229454304
339444.0 9.0 40.0 8.069132838120684
462465.0 9.0 40.0 8.03464386001082
462466.0 9.0 40.0 9.539719274457962
462467.0 9.0 40.0 10.242912733849357
462468.0 9.0 40.0 9.85061207617309
462469.0 9.0 40.0 10.067741704372315
462470.0 9.0 40.0 10.186178168888878
462471.0 9.0 40.0 9.177045238134795
336892.0 10.0 40.0 8.627569330131722
336893.0 10.0 40.0 8.978678844446513
336894.0 10.0 40.0 9.425757628717394
336895.0 10.0 40.0 8.835900154916454
336896.0 10.0 40.0 8.217954114324744
336897.0 10.0 40.0 8.040062287119087
337818.0 10.0 40.0 8.444910851506565
337834.0 10.0 40.0 8.980973498049671
337835.0 10.0 40.0 9.406985875881754
337836.0 10.0 40.0 9.311019053836523
337837.0 10.0 40.0 9.163556525991684
337838.0 10.0 40.0 8.88969544751894
337839.0 10.0 40.0 8.69073721389433
337840.0 10.0 40.0 8.30452186821883
337885.0 10.0 40.0 8.061197801727921
337902.0 10.0 40.0 8.068261577139832
338133.0 10.0 40.0 8.974684153707955
338134.0 10.0 40.0 8.899783762682915
338135.0 10.0 40.0 8.932556211118381
338136.0 10.0 40.0 8.00797667411209
338137.0 10.0 40.0 8.160125531532325
338716.0 10.0 40.0 8.966755231264484
338717.0 10.0 40.0 8.838018432085656
338718.0 10.0 40.0 9.573005062352902
338719.0 10.0 40.0 9.98497317431798
338720.0 10.0 40.0 10.492910556239146
338721.0 10.0 40.0 10.036473811015902
338722.0 10.0 40.0 9.238292836283419
338723.0 10.0 40.0 8.585236123425588
338724.0 10.0 40.0 8.147525089468939
338786.0 10.0 40.0 8.772648601289829
338787.0 10.0 40.0 9.617648786267567
338788.0 10.0 40.0 9.739368375891956
338789.0 10.0 40.0 10.003871513490116
338790.0 10.0 40.0 10.083458252938271
338791.0 10.0 40.0 10.308169254261081
338792.0 10.0 40.0 10.050693192021605
338793.0 10.0 40.0 8.196850249399011
339374.0 10.0 40.0 8.039118314352079
339441.0 10.0 40.0 8.212497241312763
339442.0 10.0 40.0 8.664257503936977
339443.0 10.0 40.0 8.451255018729949
339444.0 10.0 40.0 8.149305405309162
462465.0 10.0 40.0 8.721537664889572
462466.0 10.0 40.0 9.770182412999073
462467.0 10.0 40.0 9.735076625019076
462468.0 10.0 40.0 9.73976297337395
462469.0 10.0 40.0 9.77253788855927
462470.0 10.0 40.0 9.42143572401944
462471.0 10.0 40.0 8.845625025014575
462467.0 2.0 50.0 10.389581074412197
462468.0 2.0 50.0 8.93884708453799
462465.0 3.0 50.0 8.140445214676127
462466.0 3.0 50.0 10.654881081191116
462467.0 3.0 50.0 11.599933927186628
462465.0 4.0 50.0 10.67125751173108
462466.0 4.0 50.0 11.92669192237404
462467.0 4.0 50.0 10.112057960838445
462464.0 5.0 50.0 9.587327304019123
462465.0 5.0 50.0 11.958985038050047
462466.0 5.0 50.0 10.726786967771426
462467.0 5.0 50.0 8.762555687250035
336890.0 6.0 50.0 8.013010899907602
337831.0 6.0 50.0 8.02658368048841
337833.0 6.0 50.0 8.226155252959874
337834.0 6.0 50.0 8.443867833946031
338716.0 6.0 50.0 8.799041723258993
338717.0 6.0 50.0 8.572261010245697
338785.0 6.0 50.0 8.30325379129852
338786.0 6.0 50.0 8.43025346321082
338787.0 6.0 50.0 8.037165732713692
339438.0 6.0 50.0 8.186364406636912
462463.0 6.0 50.0 8.905842047183665
462464.0 6.0 50.0 10.95595689547768
462465.0 6.0 50.0 10.971078593616001
462466.0 6.0 50.0 9.534793587337216
462467.0 6.0 50.0 8.140841276614685
336889.0 7.0 50.0 8.251451103652274
336890.0 7.0 50.0 8.405423174737487
336891.0 7.0 50.0 8.016299722956255
337831.0 7.0 50.0 8.407019305162688
337832.0 7.0 50.0 8.30903985565336
337833.0 7.0 50.0 8.72056239153547
337834.0 7.0 50.0 8.7485587076647
338714.0 7.0 50.0 8.44211968679109
338715.0 7.0 50.0 8.887235770130648
338716.0 7.0 50.0 9.377143236811623
338717.0 7.0 50.0 8.296552825491466
338785.0 7.0 50.0 8.806171220658912
338786.0 7.0 50.0 8.489833788188148
338787.0 7.0 50.0 8.223886661975062
338788.0 7.0 50.0 8.691398437804025
338789.0 7.0 50.0 8.307873930371949
339437.0 7.0 50.0 8.20260636067535
462462.0 7.0 50.0 9.11270475642989
462463.0 7.0 50.0 10.285682216290441
462464.0 7.0 50.0 10.193303097086318
462465.0 7.0 50.0 9.91895898311487
462466.0 7.0 50.0 8.958746811912206
336887.0 8.0 50.0 8.426874730009477
336888.0 8.0 50.0 8.523766824831837
336889.0 8.0 50.0 8.64160817095389
336890.0 8.0 50.0 8.762068173498971
336891.0 8.0 50.0 8.46878046312559
337830.0 8.0 50.0 8.041023525953637
337831.0 8.0 50.0 9.043970750349585
337832.0 8.0 50.0 8.805674835965995
337833.0 8.0 50.0 9.028262449922163
337834.0 8.0 50.0 8.651177745782224
337835.0 8.0 50.0 8.81091760589967
338130.0 8.0 50.0 8.099180208737334
338713.0 8.0 50.0 8.639688066456136
338714.0 8.0 50.0 9.307447280909738
338715.0 8.0 50.0 9.464568495239623
338716.0 8.0 50.0 9.10843305303484
338717.0 8.0 50.0 8.215473046596813
338784.0 8.0 50.0 8.477461304882077
338785.0 8.0 50.0 8.878117566275613
338786.0 8.0 50.0 8.673864196751135
338787.0 8.0 50.0 9.064045832525002
338788.0 8.0 50.0 9.05357303743517
338789.0 8.0 50.0 8.47485180118066
339437.0 8.0 50.0 8.062292833510552
339438.0 8.0 50.0 8.557220733581424
339439.0 8.0 50.0 8.135618889830905
462461.0 8.0 50.0 9.092088616083096
462462.0 8.0 50.0 10.432844022041943
462463.0 8.0 50.0 9.668199673606841
462464.0 8.0 50.0 9.312065725292445
462465.0 8.0 50.0 9.401103366852087
462466.0 8.0 50.0 8.71763736719274
336886.0 9.0 50.0 8.015300703364167
336887.0 9.0 50.0 8.975701974691
336888.0 9.0 50.0 8.906574889615667
336889.0 9.0 50.0 8.995456952779898
336890.0 9.0 50.0 9.17568805477553
337830.0 9.0 50.0 8.693592962816645
337831.0 9.0 50.0 9.500922883886096
337832.0 9.0 50.0 9.123184193267663
337833.0 9.0 50.0 8.952832509709655
337834.0 9.0 50.0 9.597215496708674
337835.0 9.0 50.0 8.523248996754504
